Year,"Header","Source","URL"
2010,"Россия снизила объемы экспорта ...","www.vedomosti.ru/.../01/...obemy-eksporta-gaza-do-minimuma-za-10-let-v","http://www.vedomosti.ru/business/articles/2015/01/13/rossiya-snizila-obemy-eksporta-gaza-do-minimuma-za-10-let-v"
2010,"Экспорт газа из РФ в сентябре ...","www.oilcapital.ru/export/253594.html","http://www.oilcapital.ru/export/253594.html"
2010,"Газпром увеличил экспорт газа в ...","neftegaz.ru/news/view/145002","http://neftegaz.ru/news/view/145002"
2010,"Расчет расхода газа для ТУ","stm-m.ru","http://bs.yandex.ru/count/LDV6atysh-K40000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A068lJg9q0A9yse7VMER8HeFc0UTcZa7fYoAifjahGEzjJ1jpmEg0QMdvfK6ZG6HlrU0a0UFluVplG-VljyeGWwJXGsP1KACa5C7e92c3g-GKmVPa6eOb9iPQQU2bQYWKre7eVgy3BLvzmld3wC1fC00000T1Axjiy3ukfSXih43igWH00AvcZa7mV__________3yByiTpA23DFvWFI__________yFq___________3tyO"
2010,"Тендеры газа!","www.ros-tenders.ru","http://bs.yandex.ru/count/LDV6asR4aai40000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A04oYB-xXu44YVDg1trZco4Q3vW5dQy9UmMcHugrjtQP0hss5RxK0ge1fQFPSmMyhBFS0eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z9NN0xQG9m6rWFgWaCC5hvNN0xEGTm6qWFhPbPe9sf1n0fIK2MEdYVQejuKRS0AX-hmCjNdt2-SFem6am00001q4hkspmFYwbo6oiGEog1400hcl2Ni5mV__________3yByiTpA23DFvWFI__________yFq___________3teS"
2010,"Газ в России","www.benzol.ru","http://bs.yandex.ru/count/LDV6a_SRFea40000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A04pYBQ50b81YQETeFYO1vsjR7K4fXIAhnx1oRsnAca30Qe1fQVVjGAyhX770eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z91n0g2GuWIla742sP3Y19ISngAdaRK1gB10MNC7eVgy3BLvzmld3wC1fC00000T1Axjiy3ukfSXih41igYH00AvhMnr1C7__________m_2_B7SoWWpJ-O3n075Zm_I__________yFq___________3tWQ"
2011,"Таможенное оформление","Реклама · alet-broker.ru","http://bs.yandex.ru/count/0fGWOxeC8GG40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18uYo_zh61ecwGhoS0vX8dQXmMHMcWmYAleDAQGIziVpjPGIg0QMYzL47lAXFJWUD0P6_Lu2G1u-urI1439-zp1sa0fE53Pa5GeoG_tYsc4majP337g2RS8QlaFzuiv0k8hIGmnxPct26sf0k8fISdLIdWnAek8whZGAX-yOh-KwHolyFem6am00009e5hkc0milbcI6oiG6oe1000hceS5aLmV__________3yByiTpA23DFvWF5Zm_I__________yFq___________3teS"
2011,"Экспорт в Европу","Реклама · btline.info","http://bs.yandex.ru/count/0fGWOw70U3q40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18pA8ix5ByGA9fLI06PW7dQeZhWUcBegq_PAz0Rsy4Dq40ge1fQf6pWED0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoOSoMsb3mBjPY52Q2G62wlc7Cbiv2u2xIOXGdPa1Wksf2u2vIRTtsdWJkea6GseVl6A_bEaSh_3wC1fC00002Q1QxfWCBBvPaXih41ig0m00AvgYEk1y7__________m_2_B7SoWWpJ-O3n075Z0_I__________yFq___________3tmR"
2011,"Экспорт из России","Реклама · globusved.ru","http://bs.yandex.ru/count/0fGWOspZB3i40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18pE8l8Jja0M9kZRFO0AO1vsWuZ0JfbYAl9ok4mAzkjKkMGAg0QMa5Si4lANEqGID0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoGKmUWa4mThv1J1zcGJ1sKcD-jfvsO0QYrmwXR0w7xnYlvJf7A_m-Z0QJ00000cWMkwO32o-MP8RAn0RAW4002kQ3YC1F1__________yFmlontCe8Cq_c0yG1nOyFql__________3zF__________mzv6W00"
2011,"Экспорт газа из России к 2018 году вырастет до 180,1 ...","www.msn.com/ru-ru/news/other/...","http://www.msn.com/ru-ru/news/other/СЌРєСЃРїРѕСЂС‚-РіР°Р·Р°-РёР·-СЂРѕСЃСЃРёРё-Рє-2018-РіРѕРґСѓ-РІС‹СЂР°СЃС‚РµС‚-РґРѕ-1801-РјРёР»Р»РёР°СЂРґРѕРІ-РєСѓР±РѕРІ/ar-BBkkK8n"
2011,"Экспорт природного газа из России — Documentation","www.newsruss.ru/doc/index.php/Экспорт_природного...","http://www.newsruss.ru/doc/index.php/%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%B0%D0%B7%D0%B0_%D0%B8%D0%B7_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2011,"Экспорт Российской Федерации природного газа | Банк России","www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm","http://www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm"
2011,"Газпром — Википедия","ru.wikipedia.org › 2001 › 2003 годах","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC"
2011,"Экспорт газа из РФ к 2035 году может вырасти в 1,5 раза до ...","www.msn.com/ru-ru/news/other/экспорт-газа-из-рф-к...","http://www.msn.com/ru-ru/news/other/%d1%8d%d0%ba%d1%81%d0%bf%d0%be%d1%80%d1%82-%d0%b3%d0%b0%d0%b7%d0%b0-%d0%b8%d0%b7-%d1%80%d1%84-%d0%ba-2035-%d0%b3%d0%be%d0%b4%d1%83-%d0%bc%d0%be%d0%b6%d0%b5%d1%82-%d0%b2%d1%8b%d1%80%d0%b0%d1%81%d1%82%d0%b8-%d0%b2-15-%d1%80%d0%b0%d0%b7%d0%b0-%d0%b4%d0%be-282-317-%d0%bc%d0%bb%d1%80%d0%b4-%d0%ba%d1%83%d0%b1%d0%be%d0%bc%d0%b5%d1%82%d1%80%d0%be%d0%b2/ar-AAemT2T"
2011,"Россия увеличила импорт и снизила экспорт газа: …","lenta.ru/news/2012/12/03/gas","http://lenta.ru/news/2012/12/03/gas/"
2011,"Газпром Экспорт — Википедия","https://ru.wikipedia.org/wiki/Газпром_Экспорт","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC_%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82"
2011,"ВЕДОМОСТИ - Россия снизила объемы экспорта газа до ...","www.vedomosti.ru/.../01/...obemy-eksporta-gaza-do-minimuma-za-10-let-v","http://www.vedomosti.ru/business/articles/2015/01/13/rossiya-snizila-obemy-eksporta-gaza-do-minimuma-za-10-let-v"
2011,"Экспорт газа из РФ в сентябре сократился на 35% до 11,571 ...","www.oilcapital.ru/export/253594.html","http://www.oilcapital.ru/export/253594.html"
2011,"Газпром увеличил экспорт газа в дальнее зарубежье до …","neftegaz.ru/news/view/145002","http://neftegaz.ru/news/view/145002"
2011,"Расчет расхода газа для ТУ","stm-m.ru","http://bs.yandex.ru/count/0fGWOtd5V9y40000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A068lJg9q0A9yse7VMER8HeFc0UTcZa7fYoAifjahGEzjJ1jpmEg0QMdvfK6ZG6HlrU0a0UFluVplG-VljyeGWwJXGsP1KACa5C7e92c3g-GKmVPa6eOb9iPQQU2bQYWKre7eVl6A_bEaSh_3wC1fC00002Q1QxfWCBBvPaXih43igWH00AvcZa7mV__________3yByiTpA23DFvWFI__________yFq___________3tyO"
2011,"Тендеры газа!","www.ros-tenders.ru","http://bs.yandex.ru/count/0fGWOsifini40000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A04oYB-xXu44YVDg1trZco4Q3vW5dQy9UmMcHugrjtQP0hss5RxK0ge1fQFPSmMyhBFS0eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z9NN0xQG9m6rWFgWaCC5hvNN0xEGTm6qWFhPbPe9sf1n0fIK2MEdYVQejuKRS0AX-yOh-KwHolyFem6am00009e5hkc0milbcI6oiGEog1400hcl2Ni5mV__________3yByiTpA23DFvWFI__________yFq___________3teS"
2011,"Газ в России","www.benzol.ru","http://bs.yandex.ru/count/0fGWOvpFKH440000gOA0Zhy2s6m5XPmf39K2cm5kGxS2A04pYBQ50b81YQETeFYO1vsjR7K4fXIAhnx1oRsnAca30Qe1fQVVjGAyhX770eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z91n0g2GuWIla742sP3Y19ISngAdaRK1gB10MNC7eVl6A_bEaSh_3wC1fC00002Q1QxfWCBBvPaXih41igYH00AvhMnr1C7__________m_2_B7SoWWpJ-O3n075Zm_I__________yFq___________3tWQ"
2012,"Таможенное оформление","Реклама · alet-broker.ru","http://bs.yandex.ru/count/4df9TR3j4lC40000gOA0Zh03s6m5XPmf39K1cm9kGxS18uYo_zh61ecwGhoS0vX8dQXmMHMcWmYAleDAQGIziVpjPGIg0QMYzL47lAXFJWUD0P6_Lu2G1u-urI1439-zp1sa0fE53Pa5GeoO1KYsb9iLjPXF4g2RS8Qlc0L8iv0k8hIOJnBPct26sf0k8fISdLIdYnsek8whZGAXwRiOmVqsNaYZ0QJ000004GokuNw2Hi2S8RAn0RAW4002kQXmMHN1__________yFmlontCe8Cq_c0yMF3zB__________m_J__________yFUHm0"
2012,"Экспорт в Европу","Реклама · btline.info","http://bs.yandex.ru/count/4df9TVc2S9C40000gOA0Zh03s6m5XPmf39K1cm9kGxS18pA8ix5ByGA9fLI06PW7dQeZhWUcBegq_PAz0Rsy4Dq40ge1fQf6pWED0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoTn1ssbEu8jPYH1w2G62wldSGTiv2u2xIOaGVPa1Wksf2u2vIRTtsdZaYea6GseUcx6C7zDbv8em6am000014Chk5-WaR0d26oiG6oe3000hcg8wu7mV__________3yByiTpA23DFvWF40SMC3zB__________m_J__________yFUni0"
2012,"Экспорт из России","Реклама · globusved.ru","http://bs.yandex.ru/count/4df9TQIxJau40000gOA0Zh03s6m5XPmf39K1cm9kGxS18pE8l8Jja0M9kZRFO0AO1vsWuZ0JfbYAl9ok4mAzkjKkMGAg0QMa5Si4lANEqGID0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoGKmUWa4mThv1J1zcGJ1sKcD-jfvYO0QYrmwXR0w7fknZ1_JPUIAC1fC00000H3AxXVe96m9mXih41ig0G00AveE8m4y7__________m_2_B7SoWWpJ-O3n075Zm_I__________yFq___________3tWQ"
2012,"Экспорт газа из России к 2018 году вырастет до 180,1 ...","www.msn.com/ru-ru/news/other/...","http://www.msn.com/ru-ru/news/other/СЌРєСЃРїРѕСЂС‚-РіР°Р·Р°-РёР·-СЂРѕСЃСЃРёРё-Рє-2018-РіРѕРґСѓ-РІС‹СЂР°СЃС‚РµС‚-РґРѕ-1801-РјРёР»Р»РёР°СЂРґРѕРІ-РєСѓР±РѕРІ/ar-BBkkK8n"
2012,"Экспорт природного газа из России — Documentation","www.newsruss.ru/doc/index.php/Экспорт_природного...","http://www.newsruss.ru/doc/index.php/%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%B0%D0%B7%D0%B0_%D0%B8%D0%B7_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2012,"Экспорт Российской Федерации природного газа | Банк России","www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm","http://www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm"
2012,"Газпром — Википедия","ru.wikipedia.org › 2001 › 2003 годах","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC"
2012,"Экспорт газа из РФ к 2035 году может вырасти в 1,5 раза до ...","www.msn.com/ru-ru/news/other/экспорт-газа-из-рф-к...","http://www.msn.com/ru-ru/news/other/%d1%8d%d0%ba%d1%81%d0%bf%d0%be%d1%80%d1%82-%d0%b3%d0%b0%d0%b7%d0%b0-%d0%b8%d0%b7-%d1%80%d1%84-%d0%ba-2035-%d0%b3%d0%be%d0%b4%d1%83-%d0%bc%d0%be%d0%b6%d0%b5%d1%82-%d0%b2%d1%8b%d1%80%d0%b0%d1%81%d1%82%d0%b8-%d0%b2-15-%d1%80%d0%b0%d0%b7%d0%b0-%d0%b4%d0%be-282-317-%d0%bc%d0%bb%d1%80%d0%b4-%d0%ba%d1%83%d0%b1%d0%be%d0%bc%d0%b5%d1%82%d1%80%d0%be%d0%b2/ar-AAemT2T"
2012,"Россия увеличила импорт и снизила экспорт газа: …","lenta.ru/news/2012/12/03/gas","http://lenta.ru/news/2012/12/03/gas/"
2012,"Газпром Экспорт — Википедия","https://ru.wikipedia.org/wiki/Газпром_Экспорт","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC_%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82"
2012,"ВЕДОМОСТИ - Россия снизила объемы экспорта газа до ...","www.vedomosti.ru/.../01/...obemy-eksporta-gaza-do-minimuma-za-10-let-v","http://www.vedomosti.ru/business/articles/2015/01/13/rossiya-snizila-obemy-eksporta-gaza-do-minimuma-za-10-let-v"
2012,"Экспорт газа из РФ в сентябре сократился на 35% до 11,571 ...","www.oilcapital.ru/export/253594.html","http://www.oilcapital.ru/export/253594.html"
2012,"Газпром увеличил экспорт газа в дальнее зарубежье до …","neftegaz.ru/news/view/145002","http://neftegaz.ru/news/view/145002"
2012,"Хотите подключить газ?","dokagaz.ru","http://bs.yandex.ru/count/4df9TJHNSfW40000gOA0Zh03s6m5XPmf39K2cm5kGxS2A068kKSgi0Q9yvA4Pf-Wc4K5c0UTgpuT4QPzYgy2ESwziJk1206g0QMjUBu2ZG6HlrU0a0UJXGsP1KACcCXDjfnL5xMOnXEWaxHFhvZ8JREOGnIqcCOJsPEqJzgOGnIKceOjfuu9gA77tIQXwRiOmVqsNaYZ0QJ000004GokuNw2Hi2S8RAn0xAe4G02kQi-7H71__________yFmlontCe8Cq_c0yG1nOyFql__________3zF__________mzy6W00"
2012,"Расчет расхода газа для ТУ","stm-m.ru","http://bs.yandex.ru/count/4df9TO2SxA040000gOA0Zh03s6m5XPmf39K2cm5kGxS2A04oYBqwYT02YVDg1trZco4Q3vW7dPev1wOiYhARPAq3lRKmRSy3gW6bf-QL1eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z91J1w2GfWwla5C7sP1g69INPMEdYd6ee5DQ1w7fknZ1_JPUIAC1fC00000H3AxXVe96m9mXih43igWH00AvcZa7mV__________3yByiTpA23DFvWFI__________yFq___________3tyO"
2012,"Тендеры газа!","www.ros-tenders.ru","http://bs.yandex.ru/count/4df9TN1S0Vy40000gOA0Zh03s6m5XPmf39K2cm5kGxS2A04pYB-xXu44YVDg1trZco4Q3vW5dQy9UmMcHugrjtQP0hss5RxK0ge1fQFPSmMyhBFS0eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z9331RQOkW6ra7S1e9331Q-GmmMpa7S1j91t0TcLcWdQa742b9CyKwU7YAYtXHjm0g7fknZ1_JPUIAC1fC00000H3AxXVe96m9mXih43igWH00Avhmbx1S7__________m_2_B7SoWWpJ-O3ql__________3zF__________mzx7000"
2012,"Газ в России","www.benzol.ru","http://bs.yandex.ru/count/4df9TNPqFHG40000gOA0Zh03s6m5XPmf39K2cm5kGxS2A04qYBQ50b81YQETeFYO1vsjR7K4fXIAhnx1oRsnAca30Qe1fQVVjGAyhX770eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z91n0g2GuWIla742sP3Y19ISngAdaRK1gB10MNC7eUcx6C7zDbv8em6am000014Chk5-WaR0d26oiG6og9400hcjR7K4mV__________3yByiTpA23DFvWF40SMF3zB__________m_J__________yFVna0"
2013,"Таможенное оформление","Реклама · alet-broker.ru","http://bs.yandex.ru/count/CHpyzTDZV_y40000gOA0Zh03s6m5XPmf39K1cm9kGxS18uYo_zh61ecwGhoS0vX8dQXmMHMcWmYAleDAQGIziVpjPGIg0QMYzL47lAXFJWUD0P6_Lu2G1u-urI1439-zp1sa0fE53Pa5GeoG_tYsc4majP337g2RS8QlaFzuiv0k8hIGmnxPct26sf0k8fISdLIdWnAek8whZGAX_8B15hAEWJy7em6am00001q4hko8GkTedY6oiG6oe1000hceS5aLmV__________3yByiTpA23DFvWF5Zm_I__________yFq___________3teS"
2013,"Экспорт в Европу","Реклама · btline.info","http://bs.yandex.ru/count/CHpyzVJjlIu40000gOA0Zh03s6m5XPmf39K1cm9kGxS18pA8ix5ByGA9fLI06PW7dQeZhWUcBegq_PAz0Rsy4Dq40ge1fQf6pWED0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoOSoMsb3mBjPY52Q2G62wlc7Cbiv2u2xIOXGdPa1Wksf2u2vIRTtsdWJkea6GseVo2mHQoZe4_1wC1fC00000T1AxiY4BdQ9uXih41ig0m00AvgYEk1y7__________m_2_B7SoWWpJ-O3n075Z0_I__________yFq___________3tmR"
2013,"Экспорт из России","Реклама · globusved.ru","http://bs.yandex.ru/count/CHpyzS0ZI-K40000gOA0Zh03s6m5XPmf39K1cm9kGxS18pE8l8Jja0M9kZRFO0AO1vsWuZ0JfbYAl9ok4mAzkjKkMGAg0QMa5Si4lANEqGID0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoGKmUWa4mThv1J1zcGJ1sKcD-jfvsO0QYrmwXR0w7yWi4Miew1FmUZ0QJ000007GIkx8X2vsYU8RAn0RAW4002kQ3YC1F1__________yFmlontCe8Cq_c0yG1nOyFql__________3zF__________mzv6W00"
2013,"Экспорт природного газа из России","www.newsruss.ru/doc/index.php/Экспорт_природного...","http://www.newsruss.ru/doc/index.php/%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%B0%D0%B7%D0%B0_%D0%B8%D0%B7_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2013,"Россия топит мир: экспорт нефти ...","www.rbc.ru/economics/07/02/2012/636603.shtml","http://www.rbc.ru/economics/07/02/2012/636603.shtml"
2013,"Экспорт газа из России к 2018 году ...","www.msn.com/ru-ru/news/other/...","http://www.msn.com/ru-ru/news/other/СЌРєСЃРїРѕСЂС‚-РіР°Р·Р°-РёР·-СЂРѕСЃСЃРёРё-Рє-2018-РіРѕРґСѓ-РІС‹СЂР°СЃС‚РµС‚-РґРѕ-1801-РјРёР»Р»РёР°СЂРґРѕРІ-РєСѓР±РѕРІ/ar-BBkkK8n"
2013,"Газпром — Википедия","ru.wikipedia.org › 2001 › 2003 годах","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC"
2013,"Внешняя торговля России ...","https://ru.wikipedia.org/wiki/Внешняя_торговля...","https://ru.wikipedia.org/wiki/%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D1%8F%D1%8F_%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2013,"Экспорт Российской Федерации ...","www.cbr.ru/statistics/credit_statistics/print.aspx?file=gas.htm","http://www.cbr.ru/statistics/credit_statistics/print.aspx?file=gas.htm"
2013,"Экспорт газа из России упал на 7 ...","lenta.ru/news/2015/01/15/exports","http://lenta.ru/news/2015/01/15/exports/"
2013,"Экспорт газа из России в ...","www.newsru.com/finance/31oct2014/rugasxport.html","http://www.newsru.com/finance/31oct2014/rugasxport.html"
2013,"Россия снизила объемы экспорта ...","www.vedomosti.ru/.../01/...obemy-eksporta-gaza-do-minimuma-za-10-let-v","http://www.vedomosti.ru/business/articles/2015/01/13/rossiya-snizila-obemy-eksporta-gaza-do-minimuma-za-10-let-v"
2013,"Экспорт природного газа из РФ ...","www.rg.ru/2014/06/16/gaz.html","http://www.rg.ru/2014/06/16/gaz.html"
2013,"Расчет расхода газа для ТУ","stm-m.ru","http://bs.yandex.ru/count/CHpyzRRGJJO40000gOA0Zh03s6m5XPmf39K2cm5kGxS2A068lJg9q0A9yse7VMER8HeFc0UTcZa7fYoAifjahGEzjJ1jpmEg0QMdvfK6ZG6HlrU0a0UFluVplG-VljyeGWwJXGsP1KACa5C7e92c3g-GKmVPa6eOb9iPQQU2bQYWKre7eVo2mHQoZe4_1wC1fC00000T1AxiY4BdQ9uXih43igWH00AvcZa7mV__________3yByiTpA23DFvWFI__________yFq___________3tyO"
2013,"Тендеры газа!","www.ros-tenders.ru","http://bs.yandex.ru/count/CHpyzT4ySr840000gOA0Zh03s6m5XPmf39K2cm5kGxS2A04oYB-xXu44YVDg1trZco4Q3vW5dQy9UmMcHugrjtQP0hss5RxK0ge1fQFPSmMyhBFS0eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z9NN0xQG9m6rWFgWaCC5hvNN0xEGTm6qWFhPbPe9sf1n0fIK2MEdYVQejuKRS0AX_8B15hAEWJy7em6am00001q4hko8GkTedY6oiGEog1400hcl2Ni5mV__________3yByiTpA23DFvWFI__________yFq___________3teS"
2013,"Газ в России","www.benzol.ru","http://bs.yandex.ru/count/CHpyzTfpnlO40000gOA0Zh03s6m5XPmf39K2cm5kGxS2A04pYBQ50b81YQETeFYO1vsjR7K4fXIAhnx1oRsnAca30Qe1fQVVjGAyhX770eq1aRzNW907Zx-7yxqFdxxVA48EauKDcGL2Z91n0g2GuWIla742sP3Y19ISngAdaRK1gB10MNC7eVo2mHQoZe4_1wC1fC00000T1AxiY4BdQ9uXih41igYH00AvhMnr1C7__________m_2_B7SoWWpJ-O3n075Zm_I__________yFq___________3tWQ"
2014,"Экспорт из России","Реклама · globusved.ru","http://bs.yandex.ru/count/4xmjlRRO6JW40000gOA0Zh43s6m5XPmf39K1cm9kGxS18uYyXEsG1OcwDizW0fW7dQ3YC1EcM8gydAuJ0hswrIvP0ge1fQGLomIyfSxH18q1aRzNW907ZxWDabq8dxWVvLm5auKDcGL2Z91J1w2GJ1sla5C7sP1C7PIOtwsddPW1gBN3g5i3eVKXgdHWyukB0wC1fC00000I3AxYq03jnA0Xih41ig0G00AveE8m4y7__________m_2_B7SoWWpJ-O3n075Zm_I__________yFq___________3tWQ"
2014,"Экспорт в Европу","Реклама · btline.info","http://bs.yandex.ru/count/4xmjlKrEg3G40000gOA0Zh43s6m5XPmf39K1cm9kGxS18pA8ix5ByGA9fLI06PW7dQeZhWUcBegq_PAz0Rsy4Dq40ge1fQf6pWED0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoLQIQsa8OBjP342Q2G62wlbMaciv2u2xIGn0dPa1Wksf2u2vIRTtsdWJkea6GseVKXgdHWyukB0wC1fC00000I3AxYq03jnA0Xih41ig0m00AvgYEk1y7__________m_2_B7SoWWpJ-O3n075Z0_I__________yFq___________3tmR"
